mb,mun
70017,Aleksandrovac
70025,Aleksinac
70033,Arandjelovac
70041,Arilje
70050,Babusnica
70068,Bajina Basta
70076,Batocina
70084,Bela Palanka
70092,Beograd-Barajevo
70106,Beograd-Vozdovac
70114,Beograd-Vracar
70122,Beograd-Grocka
70144,Beograd-Vracar (2)
70149,Beograd-Zvezdara
70157,Beograd-Zemun
70165,Beograd-Lazarevac
70173,Beograd-Mladenovac
70181,Beograd-Novi Beograd
70190,Beograd-Obrenovac
70203,Beograd-Palilula
70211,Beograd-Rakovica
70220,Beograd-Savski Venac
70238,Beograd-Sopot
70246,Beograd-Stari Grad
70254,Beograd-cukarica
70262,Blace
70289,Bogatic
70297,Bojnik
70319,Boljevac
70327,Bor
70335,Bosilegrad
70343,Brus
70351,Bujanovac
70360,Valjevo
70378,Varvarin
70386,Velika Plana
70394,Veliko Gradiste
70408,Vladimirci
70416,Vladicin Han
70424,Vlasotince
70432,Vranje
70459,Vrnjacka Banja
70467,Gadzin Han
70475,Golubac
70483,Gornji Milanovac
70491,Despotovac
70505,Dimitrovgrad
70513,Doljevac
70521,zabari
70530,zagubica
70548,zitoradja
70556,Zajecar
70564,Ivanjica
70572,Kladovo
70599,Knic
70602,Knjazevac
70629,Kosjeric
70637,Koceljeva
70645,Kragujevac - grad
70653,Kraljevo
70661,Krupanj
70670,Krusevac
70688,Kursumlija
70696,Kucevo
70700, Lajkovac
70718,Lebane
70726,Leskovac
70734,Loznica
70742,Lucani
70769,Ljig
70777,Ljubovija
70785,Majdanpek
70793,Mali Zvornik
70807,Malo Crnice
70815,Medvedja
70823,Merosina
70831, Mionica
70840,Negotin
70866,Nova Varos
70874,Novi Pazar
70882,Osecina
70904,Paracin
70912,Petrovac
70939,Pirot
70947,Pozarevac
70955,Pozega
70963,Presevo
70971,Priboj
70980,Prijepolje
70998,Prokuplje
71005,Razanj
71013,Raca
71021,Raska
71030,Rekovac
71048,Jagodina
71056,Svilajnac
71064,Svrljig
71072,Sjenica
71099,Smederevo
71102,Smederevska Palanka
71129,Sokobanja
71137,Surdulica
71145,Uzice
71153,Topola
71161,Trgoviste
71170,Trstenik
71188,Tutin
71196,cicevac
71200,cuprija
71218,Ub
71226,Crna Trava
71234,cajetina
71242,cacak
71269,sabac
71277,Lapovo
71285,Nis-Niska Banja 
71293,Beograd-Surcin
71307,Nis-Pantelej
71315,Nis-Crveni Krst
71323,Nis-Palilula
71331,Nis-Mediana
71340,Kostolac
71358,Vranjska Banja
79014,Grad Beograd
79022,Grad Nis
79049,Grad Pozarevac
79057,Grad Vranje
80012,Ada
80039,Alibunar
80047,Apatin
80055,Bac
80063,Backa Palanka
80071,Backa Topola
80080,Backi Petrovac
80098,Bela Crkva
80101,Beocin
80110,Becej
80128,Vrsac
80136,zabalj
80144,zitiste
80152,Zrenjanin
80179,Indjija
80187,Irig
80195,Kanjiza
80209,Kikinda
80217,Kovacica
80225,Kovin
80233,Kula
80241,Mali Idjos
80250,Nova Crnja
80268,Novi Becej
80276,Novi Knezevac
80284,Novi Sad - grad (2)
80292,Opovo
80306,Odzaci
80314,Pancevo
80322,Pecinci
80349,Plandiste
80357,Ruma
80365,Senta
80373,Secanj
80381, Sombor
80390,Srbobran
80403,Sremska Mitrovica
80411,Sremski Karlovci
80420,Stara Pazova
80438,Subotica
80446,Temerin
80454,Titel
80462,Vrbas
80489,coka
80497,sid
80519,Petrovaradin
89010,Novi Sad-grad 
