Date,Event
5/11/2008,National and Local Elections
10/21/2008,SNS splits from SRS
2/17/2011,URS removed from national government
5/6/2012,National and Local Elections
7/27/2012,Ruling coalition and government formed at national level
10/23/2012,SNS and SPS agree to enter coalitions at local level
7/30/2013,URS removed from national government
8/25/2013,Leader of URS asked to rejoin government
2/2/2014,SDS splits from DS
3/24/2014,National Elections 
4/27/2014,Ruling coalition and government formed at national level
6/2/2014,URS dissolved
4/24/2016,National and Local Elections
,
,
