mun_id,majority_ethnicity,spec_population
70017,serbs,25682.0
70025,serbs,47563.0
70033,serbs,44581.0
70041,serbs,18407.0
70050,serbs,10933.0
70068,serbs,25638.0
70076,serbs,11514.0
70084,serbs,10395.0
70092,serbs,25496.0
70106,serbs,146607.0
70114,serbs,50561.0
70122,serbs,78979.0
70149,serbs,137132.0
70157,serbs,147810.0
70165,serbs,55987.0
70173,serbs,50231.0
70181,serbs,190834.0
70190,serbs,67185.0
70203,serbs,152061.0
70211,serbs,100937.0
70220,serbs,34742.0
70238,serbs,19554.0
70246,serbs,43208.0
70254,serbs,166258.0
70262,serbs,11551.0
70289,serbs,27517.0
70297,serbs,9197.0
70319,serbs,8372.0
70327,serbs,35435.0
70335,bulgarians,5839.0
70343,serbs,15932.0
70360,serbs,86423.0
70378,serbs,17507.0
70386,serbs,38761.0
70394,serbs,16291.0
70408,serbs,16799.0
70416,serbs,18644.0
70424,serbs,28613.0
70432,serbs,68483.0
70459,serbs,26482.0
70467,serbs,7972.0
70475,serbs,7576.0
70483,serbs,43453.0
70491,serbs,21602.0
70505,bulgarians,5413.0
70513,serbs,17008.0
70521,serbs,10137.0
70530,serbs,9024.0
70548,serbs,14735.0
70556,serbs,52292.0
70564,serbs,31507.0
70572,serbs,17673.0
70599,serbs,14081.0
70602,serbs,29631.0
70629,serbs,11879.0
70637,serbs,12107.0
70645,serbs,172052.0
70653,serbs,120267.0
70661,serbs,16629.0
70670,serbs,122529.0
70688,serbs,18528.0
70696,serbs,10307.0
70700,serbs,14381.0
70718,serbs,20398.0
70726,serbs,133623.0
70734,serbs,74686.0
70742,serbs,20457.0
70769,serbs,12145.0
70777,serbs,14108.0
70785,serbs,14670.0
70793,serbs,11677.0
70807,serbs,10104.0
70815,serbs,6429.0
70823,serbs,13094.0
70831,serbs,13758.0
70840,serbs,29461.0
70866,serbs,14899.0
70874,bosnians,77443.0
70882,serbs,12093.0
70904,serbs,51891.0
70912,serbs,25015.0
70939,serbs,53232.0
70947,serbs,56959.0
70955,serbs,28956.0
70971,serbs,20582.0
70980,serbs,19496.0
70998,serbs,40936.0
71005,serbs,8815.0
71013,serbs,11329.0
71021,serbs,24135.0
71030,serbs,10712.0
71048,serbs,68898.0
71056,serbs,22048.0
71064,serbs,13843.0
71072,bosnians,19498.0
71099,serbs,101908.0
71102,serbs,47972.0
71129,serbs,14936.0
71137,serbs,16233.0
71145,serbs,76089.0
71153,serbs,21602.0
71161,serbs,4977.0
71170,serbs,41829.0
71188,bosnians,28041.0
71196,serbs,9073.0
71200,serbs,28268.0
71218,serbs,27525.0
71226,serbs,1641.0
71234,serbs,14440.0
71242,serbs,110886.0
71269,serbs,110642.0
71277,serbs,7613.0
71285,serbs,13731.0
71293,serbs,37866.0
71307,serbs,50696.0
71315,serbs,28751.0
71323,serbs,68612.0
71331,serbs,81591.0
71340,serbs,9842.0
71358,serbs,8086.0
79014,serbs,1505448.0
79022,serbs,243381.0
79049,serbs,66801.0
79057,serbs,76569.0
80012,hungarians,12750.0
80039,serbs,12234.0
80047,serbs,18164.0
80055,serbs,6750.0
80063,serbs,43843.0
80071,hungarians,19307.0
80080,slovaks,8772.0
80098,serbs,12715.0
80101,serbs,10956.0
80110,hungarians,17309.0
80128,serbs,37595.0
80136,serbs,22134.0
80144,serbs,10436.0
80152,serbs,91579.0
80179,serbs,40871.0
80187,serbs,8534.0
80195,hungarians,21576.0
80209,serbs,44846.0
80217,slovaks,10577.0
80225,serbs,25150.0
80233,serbs,25237.0
80241,hungarians,6486.0
80250,serbs,6922.0
80268,serbs,16132.0
80276,serbs,6445.0
80284,serbs,241789.0
80292,serbs,8994.0
80306,serbs,25077.0
80314,serbs,97499.0
80322,serbs,17965.0
80349,serbs,5868.0
80357,serbs,46891.0
80365,hungarians,18441.0
80373,serbs,9195.0
80381,serbs,54370.0
80390,serbs,10709.0
80403,serbs,69849.0
80411,serbs,6820.0
80420,serbs,54516.0
80438,hungarians,50469.0
80446,serbs,19112.0
80454,serbs,13615.0
80462,serbs,23251.0
80489,hungarians,5661.0
80497,serbs,26646.0
80519,serbs,27328.0
89010,serbs,269117.0
